DATETIME,NODE_PM,Peak CPU usage,Average memory usage
25/10/20 16,GGSN_BREST,47,51
25/10/20 17,GGSN_BREST,46,51
25/10/20 18,GGSN_BREST,43,51
25/10/20 19,GGSN_BREST,48,51
25/10/20 20,GGSN_BREST,57,51
25/10/20 21,GGSN_BREST,48,51
25/10/20 22,GGSN_BREST,46,51
25/10/20 23,GGSN_BREST,42,51
26/10/20 00,GGSN_BREST,40,51
26/10/20 01,GGSN_BREST,33,51
26/10/20 02,GGSN_BREST,34,51
26/10/20 03,GGSN_BREST,32,51
26/10/20 04,GGSN_BREST,38,51
26/10/20 05,GGSN_BREST,31,51
26/10/20 06,GGSN_BREST,36,51
26/10/20 07,GGSN_BREST,34,51
26/10/20 08,GGSN_BREST,35,51
26/10/20 09,GGSN_BREST,37,51
26/10/20 10,GGSN_BREST,39,51
26/10/20 11,GGSN_BREST,41,51
26/10/20 12,GGSN_BREST,41,51
26/10/20 13,GGSN_BREST,43,51
26/10/20 14,GGSN_BREST,46,51
26/10/20 15,GGSN_BREST,45,51
26/10/20 16,GGSN_BREST,45,51
26/10/20 17,GGSN_BREST,40,51
26/10/20 18,GGSN_BREST,42,51
26/10/20 19,GGSN_BREST,48,51
26/10/20 20,GGSN_BREST,45,51
26/10/20 21,GGSN_BREST,48,51
26/10/20 22,GGSN_BREST,43,51
26/10/20 23,GGSN_BREST,40,51
27/10/20 00,GGSN_BREST,35,51
27/10/20 01,GGSN_BREST,34,51
27/10/20 02,GGSN_BREST,34,51
27/10/20 03,GGSN_BREST,32,51
27/10/20 04,GGSN_BREST,34,51
27/10/20 05,GGSN_BREST,31,51
27/10/20 06,GGSN_BREST,32,51
27/10/20 07,GGSN_BREST,35,51
27/10/20 08,GGSN_BREST,34,51
27/10/20 09,GGSN_BREST,37,51
27/10/20 10,GGSN_BREST,36,51
27/10/20 11,GGSN_BREST,39,51
27/10/20 12,GGSN_BREST,40,51
27/10/20 13,GGSN_BREST,38,51
27/10/20 14,GGSN_BREST,39,51
27/10/20 15,GGSN_BREST,41,51
27/10/20 16,GGSN_BREST,37,51
27/10/20 17,GGSN_BREST,39,51
27/10/20 18,GGSN_BREST,40,51
27/10/20 19,GGSN_BREST,42,51
27/10/20 20,GGSN_BREST,45,51
27/10/20 21,GGSN_BREST,46,51
27/10/20 22,GGSN_BREST,49,51
27/10/20 23,GGSN_BREST,40,51
